cve_ent,nom_ent,nom_abr,cve_mun,nom_mun,cve_cab,nom_cab,ptot,pmas,pfem,vtot
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0001","Villa de Acambay de Ruíz Castañeda","60918","29449","31469","14207"
"15","México","Mex.","002","Acolman","0001","Acolman de Nezahualcóyotl","136558","68392","68166","33781"
"15","México","Mex.","003","Aculco","0001","Aculco de Espinoza","44823","22043","22780","10518"
"15","México","Mex.","004","Almoloya de Alquisiras","0001","Almoloya de Alquisiras","14856","7091","7765","3622"
"15","México","Mex.","005","Almoloya de Juárez","0001","Villa de Almoloya de Juárez","147653","73783","73870","32842"
"15","México","Mex.","006","Almoloya del Río","0001","Almoloya del Río","10886","5199","5687","2429"
"15","México","Mex.","007","Amanalco","0001","Amanalco de Becerra","22868","11224","11644","5256"
"15","México","Mex.","008","Amatepec","0001","Amatepec","26334","12799","13535","6511"
"15","México","Mex.","009","Amecameca","0001","Amecameca de Juárez","48421","23240","25181","11366"
"15","México","Mex.","010","Apaxco","0001","Apaxco de Ocampo","27521","13576","13945","6514"
"15","México","Mex.","011","Atenco","0001","San Salvador Atenco","56243","27933","28310","12483"
"15","México","Mex.","012","Atizapán","0001","Santa Cruz Atizapán","10299","4967","5332","2112"
"15","México","Mex.","013","Atizapán de Zaragoza","0001","Ciudad López Mateos","489937","238124","251813","129313"
"15","México","Mex.","014","Atlacomulco","0001","Atlacomulco de Fabela","93718","44905","48813","21172"
"15","México","Mex.","015","Atlautla","0001","Atlautla de Victoria","27663","13396","14267","6266"
"15","México","Mex.","016","Axapusco","0001","Axapusco","25559","12666","12893","6356"
"15","México","Mex.","017","Ayapango","0001","Ayapango de Gabriel Ramos M.","8864","4353","4511","2310"
"15","México","Mex.","018","Calimaya","0001","Calimaya de Díaz González","47033","23061","23972","10694"
"15","México","Mex.","019","Capulhuac","0001","Capulhuac de Mirafuentes","34101","16541","17560","7470"
"15","México","Mex.","020","Coacalco de Berriozábal","0001","San Francisco Coacalco","278064","134141","143923","75062"
"15","México","Mex.","021","Coatepec Harinas","0001","Coatepec Harinas","36174","17472","18702","8225"
"15","México","Mex.","022","Cocotitlán","0001","Cocotitlán","12142","5976","6166","3056"
"15","México","Mex.","023","Coyotepec","0001","Coyotepec","39030","19282","19748","8497"
"15","México","Mex.","024","Cuautitlán","0001","Cuautitlán","140059","69079","70980","36891"
"15","México","Mex.","025","Chalco","0001","Chalco de Díaz Covarrubias","310130","151403","158727","74775"
